//информация со всех чеков по заправке Nissan Wingroad с момента покупки (31.07.2015)
//дата;тип топлива;кол-во литров топлива;сумма за топливо;залог(бонус за безнал);пробег по одометру (? - не записывал);
27.04.16;95;20;719;21.57;108600;
21.04.16;92;20;652;19.56;108466;
17.04.16;92;20;652;19.56;108313;
13.04.16;92;20;652;19.56;108225;
05.04.16;92;20;652;19.56;108041;
29.03.16;92;20;652;19.56;107918;
22.03.16;92;20;648;19.44;107766;
18.03.16;92;20;648;19.44;107603;
12.03.16;92;20;642;19.26;107425;
06.03.16;92;20;648;19.44;107271;
03.03.16;92;20;648;19.44;107175;
27.02.16;92;20;642;19.26;106991;
23.02.16;92;20;642;19.26;106846;
17.02.16;92;20;642;19.26;106702;
11.02.16;92;20;642;19.26;106599;
04.02.16;92;20;642;19.26;106467;
28.01.16;92;20;642;19.26;106347;
22.01.16;92;20;642;19.26;106224;
18.01.16;95;19.460;0;-685.97;106132;    // бензин за все бонусы на карте
18.01.16;95;0.540;19.04;0.57;106132;    // остаток бензина за рубли
14.01.16;92;20;644;19.32;106020;
06.01.16;92;23.56;758.63;22.76;105751;  // день, нск: 331 км, расход по трассе на 100 км: ~7 литров. до полного по приезду с куйбышева
06.01.16;92;16.24;526;15.79;105422;     // утро, каинск: на выезде из куйбышева
02.01.16;92;23.10;748.44;22.45;105380;  // утро, каинск: 334 км, расход по трассе на 100 км: ~7 литров. время чека: 02.01.16 10:09
02.01.16;92;19.01;612.12;18.36;105046;  // ночь, нск: по выезду из нск, "до полного", время чека: 02.01.16 05:18
31.12.15;92;30;858.30;26.70;105026;
26.12.15;92;20;624.60;19.40;104898;
21.12.15;92;20;630.56;19.60;104800;
15.12.15;92;20;624.60;19.40;104676;
09.12.15;92;20;624.60;19.40;104553;
04.12.15;92;20;624.60;19.40;104407;
21.11.15;92;20;628.60;19.40;104188;
16.11.15;92;20;628.60;19.40;104084;
11.11.15;92;20;628.60;19.40;103980;
07.11.15;95;10;342.90;10.60;103929;
03.11.15;95;10;353.60;10.90;103813;
31.10.15;92;10;324.00;0;103777;
30.10.15;92;10;314.30;9.70;103738;
23.10.15;95;10;343.90;10.60;103653;
21.10.15;95;10;342.90;10.60;103587;
18.10.15;95;10;342.90;10.60;103514;
15.10.15;92;10;314.30;9.70;103432;
11.10.15;92;20;628.60;19.40;103284;
08.10.15;92;10;314.30;9.70;103213;
03.10.15;95;20;685.80;21.20;103053;
30.09.15;GD95;10;353.60;10.90;102969;
26.09.15;95;20;685.80;21.20;102831;
21.09.15;95;20;709.00;0;102694;
18.09.15;95;20;685.80;21.20;102518;
14.09.15;92;10;314.30;9.70;102445;
09.09.15;95;20;685.80;21.20;?;
06.09.15;95;10;342.90;10.60;?;
04.09.15;95;10;342.90;10.60;?;
02.09.15;95;10;342.90;10.60;102022;
29.08.15;95;10;342.90;10.60;?;
28.08.15;95;10;342.90;10.60;?;
26.08.15;95;10;342.90;10.60;?;
24.08.15;95;10;342.90;10.60;?;
19.08.15;95;15;510;15.75;?;
14.08.15;95;20;682;21;?;
11.08.15;95;10;337.10;10.40;?;
07.08.15;GD95;20;695.40;23.55;?;    // на чеке стоит пометка "940 км"
